Key,Source,Context,Changes,English,French,German,Klingon,Spanish
challenge_maneater_offer,,Challenge Info,KgNone,"Hey Asshole,\nThe wasteland is a lonely desolate place. We've been looking in on you and think you might be a good addition to our clan. But before we take in another mouth to feed you'll need to prove yourself worthy. Do this task and we'll consider taking you in.\n\nCrazy ‘but still kicking' Jake\n\nChallenge: Kill some male zombies","Salut trou de balle,\nOn se sent vite seul sur les terres désolées. Après observation, on trouve que tu pourrais être une bonne recrue pour notre clan. Mais avant qu'on accepte une nouvelle bouche à nourrir, il va falloir que tu fasses tes preuves. Accomplis cette tâche et on verra.\n\nJake le cinglé, mais toujours en forme\n\nDéfi : tuer des hommes zombies","Hey Arschloch!\nDas Ödland ist einsam und trostlos. Wir haben dich beobachtet und denken, dass du gut zu unserem Klan passen würdest. Aber bevor wir noch ein hungriges Maul mehr durchfüttern müssen, musst du dich erst als würdig erweisen. Erledige diese Aufgabe und vielleicht nehmen wir dich auf.\n\nCrazy „aber noch immer fit“ Jake\n\nHerausforderung: Töte ein paar männliche Zombies",,"Oye, estúpido:\nEl páramo es un lugar solitario y desolado. Te hemos seguido la pista y creemos haber encontrado una adición buena a nuestro clan. Pero antes de tener otra boca que alimentar, debemos asegurarnos de que te lo mereces. Completa esta tarea y lo pensaremos.\n\nJake, loquito, pero coleando.\n\nDesafío: Mata a un par zombis hombre."
challenge_maneater_subtitle,,Challenge Info,KgNone,Kill some Male Zombies,Tuer des hommes zombies,Töte ein paar männliche Zombies,,Mata a un par Zombis Hombre.
challenge_imalumberjackandimokay,,Challenge Info,KgNone,I'm a Lumberjack and I'm Okay,Va falloir bûcher,Ich bin Holzfäller und mir geht’s gut,,Soy un leñador y me parece bien
challenge_imalumberjackandimokay_offer,,Challenge Info,KgNone,"Hey Bastard,\nWe've been watching you and we know who you are. You seem like you can take care of yourself pretty well but let's see if you can handle this challenge. Do this and we might just induct you into our private club. You better dress warm.\n\nI'm crazy in the head, Crazy Jake\n\nChallenge: Kill some lumberjack zombies with a fireaxe","Salut macaque,\nOn t'observe et on sait qui tu es. Tu as l'air de bien te débrouiller, mais voyons si tu arrives à relever ce défi. Fais ça correctement et tu auras peut-être le droit de rejoindre notre club privé. Couvre-toi bien surtout.\n\nJake le cinglé pas bien dans sa tête\n\nDéfi : tuer des bûcherons zombies avec une hache de pompier","Hey Bastard!\nWir haben dich beobachtet und wir wissen, wer du bist. Du scheinst gut auf dich selbst aufpassen zu können. Mal sehen, ob du dich auch dieser Herausforderung stellen kannst. Erledige das und vielleicht nehmen wir dich in unseren privaten Klub auf. Zieh dich lieber warm an.\n\nDer durchgeknallte Crazy Jake\n\nHerausforderung: Töte ein paar Holzfäller-Zombies mit einer Feueraxt",,"Oye, anormal:\nTe hemos estado vigilando y sabemos quién eres. Parece que puedes cuidarte solo bastante bien, pero vamos a ver si puedes hacer esto. Hazlo y puede que te admitamos en nuestro club privado. Será mejor que te abrigues.\n\nDe remate, Jake el Loco.\n\nDesafío: Mata a un par zombis leñador con un hacha de bombero."
challenge_imalumberjackandimokay_subtitle,,Challenge Info,KgNone,Kill some Snow Zombies,Tuer des zombies des neiges,Töte ein paar Schnee-Zombies,,Mata a un par zombis de nieve.
challenge_yournothingspecial,,Challenge Info,KgNone,You're nothing Special,Tu n'as rien de spécial,Du bist nichts Besonderes,,No eres especial
challenge_yournothingspecial_offer,,Challenge Info,KgNone,"Listen up Fucker,\nThe only reason you're not dead is because I like you. That's right we've been watching you. We could use someone with your talents so if you can handle this little tiny task you might just make it onto Team Crazy.\n\nI'm batshit crazy & loving it, Crazy Jake\n\nChallenge: Kill some special infected zombies","Écoute débile,\nSi tu es toujours en vie, c'est parce que je t'aime bien. Et ouais, on te surveille. Quelqu'un avec tes talents pourrait nous être utile, alors si tu arrives à venir à bout de cette petite tâche, tu pourras peut-être rejoindre l'équipe du cinglé.\n\nJake le cinglé comme pas possible\n\nDéfi : tuer des zombies infectés spéciaux","Hör zu, du Arsch!\nDu bist nur noch am Leben, weil ich dich mag. Ganz recht, wir beobachten dich. Wir könnten jemanden mit deinen Talenten gebrauchen. Wenn du also diese klitzekleine Aufgabe erledigen kannst, schaffst du es vielleicht ins Team Crazy.\n\nIch bin so was von durchgeknallt, aber so gefällt es mir! Crazy Jake\n\nHerausforderung: Töte ein paar besondere infizierte Zombies",,"Escucha, idiota:\nSi no estás bajo tierra es porque me caes bien. Es cierto, te hemos estado vigilando. Nos vendría bien alguien con tu talento, así que si puedes acabar esta sencilla tarea, puede que formes parte del Equipo Loco.\n\nEstoy tocado y me encanta, Jake el Loco.\n\nDesafío: Mata a un par zombis especiales infectados."
challenge_yournothingspecial_subtitle,,Challenge Info,KgNone,Kill some Special infected,Tuer des infectés spéciaux,Töte ein paar besondere Infizierte,,Mata a un par especiales infectados.
challenge_killthewabbit,,Challenge Info,KgNone,Kill the Wabbit,Laaapin,Kaninchenzeit,,Mata al conejito.
challenge_killthewabbit_offer,,Challenge Info,KgNone,"Howdy Survivor,\nIf you've picked up this note then you know we've been observing you. You've got survival skills I'll give you that but let's see if you can pass this challenge and just maybe we'll let you join us.\n\nGood Luck Slick Willie\n\nChallenge: Kill some rabbits with a sawed off shotgun","Bien le bonjour,\nSi tu as récupéré ce message, tu sais qu'on t'observe. Tu t'y connais en survie, c'est certain, mais voyons si tu peux relever ce défi et peut-être qu'on te laissera nous rejoindre.\n\nBonne chance, Willie le rusé\n\nDéfi : tuer des lapins avec un fusil à pompe à canon scié","Hallihallo, Überlebender!\nWenn du diese Notiz gefunden hast, weißt du, dass wir dich beobachtet haben. Du bist ein Überlebenskünstler, das muss man dir lassen, aber sehen wir mal, ob du diese Herausforderung bestehst. Und vielleicht nehmen wir dich dann auf.\n\nViel Glück! Slick Willie\n\nHerausforderung: Töte ein paar Hasen mit einer abgesägten Schrotflinte",,"Qué hay, sobreviviente:\nSi recogiste esta nota, sabrás que te estamos observando. Tus habilidades de supervivencia son buenas, pero vamos a ver si puedes superar este desafío. Quizá te dejemos entrar si lo haces.\n\nBuena suerte, Willie el Escurridizo.\n\nDesafío: Mata a un par conejos con una escopeta recortada."
challenge_killthewabbit_subtitle,,Challenge Info,KgNone,Kill Rabbits with Shotgun,Tuer des lapins avec un fusil,Töte Hasen mit einer Schrotflinte,,Mata a un par conejos con una escopeta.
challenge_nailsomechicks,,Challenge Info,KgNone,Nail Some Chicks,Fais-toi des poulettes,Nagel ein paar Hühner,,Remacha los pollos
challenge_nailsomechicks_offer,,Challenge Info,KgNone,"Hello Friend,\nIf you're reading this note then you know we've been watching you. We're looking to add some new recruits and I think you've got what it takes. Do this little job and we might just make room for one more chicken in our coop. That is unless you're chicken ha ha.\n\nSlicker than greased goose shit... Willie\n\nChallenge: Kill some chickens with a Nailgun","Salut camarade,\nSi tu lis ce message, tu sais qu'on te surveille. On cherche de nouvelles recrues et on pense que tu peux faire l'affaire. Fais ce petit boulot et il se peut qu'on prenne une volaille de plus au poulailler. Enfin, sauf si t'es une poule mouillée, haha.\n\nWillie le rusé comme un renard...\n\nDéfi : tuer des poulets avec un pistolet à clous","Hallo Freund!\nWenn du diese Notiz liest, weißt du, dass wir dich beobachtet haben. Wir suchen nach neuen Rekruten und ich denke, du hast, was wir brauchen. Erledige diese kleine Aufgabe und vielleicht machen wir Platz für noch ein Huhn in unserem Hühnerstall. Außer du bist ein feiges Huhn. Haha.\n\nGlatter als eingefettete Gänsescheiße … Willie\n\nHerausforderung: Töte ein paar Hühner mit einer Nagelpistole",,"Hola:\nSi estás leyendo esta nota, sabrás que tienes compañía. Buscamos nuevos reclutas y creemos que tú tienes lo necesario. Haz este trabajito y puede que haya sitio para una gallina más en nuestro corral. A menos que seas una verdadera gallina. Ja, ja.\n\nWillie, más escurridizo que una mierda de pavo engrasada.\n\nDesafío: Mata a algunos pollos con la pistola de clavos."
challenge_nailsomechicks_subtitle,,Challenge Info,KgNone,Kill Chickens with Nailgun,Tuer des poulets avec un pistolet à clous,Töte Hühner mit einer Nagelpistole,,Mata a pollos con la pistola de clavos.
challenge_thatlldopig,,Challenge Info,KgNone,That'll Do Pig,Espèce de porc,"Gut gemacht, Schwein",,"Eso es todo, puerco"
challenge_thatlldopig_offer,,Challenge Info,EnChanged KgNone,"Greetings Traveler,\nIf you ‘all are holding this note then you should know my boys have been sticking to you like flies on pig shit. That's because we think you just might be Slick Willie material. Now if you can pull off this wee little task we might just call you kin.\n\nI ain't no city slicker... Willie\n\nChallenge: Kill some boars","Salutations tête brûlée,\nSi tu as ce message entre les mains, tu sais que mes gars te collent au derrière comme les mouches au cul des porcs. Tout ça parce qu'on te pense digne de Willie le rusé. Remplis cette tâche et tu feras peut-être partie de la famille.\n\nWillie le cul-terreux rusé\n\nDéfi : tuer des porcs","Sei gegrüßt, Reisender!\nWenn du diese Notiz in Händen hältst, dann solltest du wissen, dass meine Jungs dich umschwirrt haben wie Fliegen die Schweinescheiße. Denn wir denken, dass du was für Slick Willie wärst. Wenn du jetzt nur noch diese klitzekleine Aufgabe erledigst, dann bist du vielleicht einer von uns.\n\nIch bin kein schmieriges Stadtkind … Willie\n\nHerausforderung: Töte ein paar Wildschweine",,"Saludos, viajero/a:\nSi esta nota está en tus manos, sabrás que mis chicos han estado pegados a ti como moscas en mierda de cerdo. Es porque creemos que tienes lo necesario para ser parte de la banda de Willie el Escurridizo. Si puedes hacerte cargo de esta insignificante tarea, tal vez formes parte de nuestra familia.\n\nTodo se me escurre... Willie.\n\nDesafío: Mata a algunos cerdos."
challenge_thatlldopig_subtitle,,Challenge Info,EnChanged KgNone,Kill Boars,Tuer des porcs,Töte Wildschweine,,Mata a puercos.
challenge_stagparty,,Challenge Info,KgNone,Stag Party,Bienvenue chez les cornus,Ich werd zum Hirsch!,,Fiesta de ciervos
challenge_stagparty_offer,,Challenge Info,KgNone,"Well how do you do,\nFriend if you've reading this letter than you should know my crew has been watching you. Do this little task for us and we might let you join the Willies. If not don't let the door hit you where the good lord split you.\n\nSlick ‘as a whistle' Willie\n\nChallenge: Kill some Stags","Comment ça va ?\nSi tu lis cette lettre, tu sais sûrement que mon équipe t'observe. Rends-nous service et on pourrait bien te laisser rejoindre le clan de Willie. Dans le cas contraire, gare à tes fesses en repartant.\n\nWillie l'enfoiré sacrément rusé\n\nDéfi : tuer des cerfs","Na wie geht es dir, Freund?\nWenn du diesen Brief liest, solltest du wissen, dass meine Leute dich beobachtet haben. Erledige diese kleine Aufgabe für uns und vielleicht darfst du dann den Willies beitreten. Falls nicht, dann mach dich schnell vom Acker!\n\nSlick „glatt wie ein Aal“ Willie\n\nHerausforderung: Töte ein paar Hirsche",,"¿Qué tal te va, colega?:\nSi estás leyendo esta carta, sabrás que mi grupo te ha estado siguiendo. Realiza esta tarea y puede que formes parte de los Willies. Si no la haces, no dejes que la puerta te golpee las narices.\n\nWillie, más escurridizo que una anguila.\n\nDesafío: Mata a un par de ciervos."
challenge_stagparty_subtitle,,Challenge Info,KgNone,Kill Stags,Tuer des cerfs,Töte Hirsche,,Mata ciervos.
challenge_dontfeedthebears,,Challenge Info,KgNone,Don't Feed the Bears,Ours mal léché,Bärenhunger,,No alimente a los osos
challenge_dontfeedthebears_offer,,Challenge Info,EnChanged KgNone,"Howdy Friend,\nUnless you got shit for brains you probably know we've been following you. Now that we've got the pleasantries out of the way let me get right to the point. We want you to join the Willies but first you have to pass this initiation for us to consider it.\n\nSlicker than a minnow's dick... Willie\n\nChallenge: Kill some Bears","Salut camarade,\nÀ moins que tu aies de la merde à la place de la cervelle, tu sais qu'on te suit depuis un moment. Après ces politesses, venons-en au fait. On aimerait que tu rejoignes le clan de Willie, mais tu dois réussir notre initiation avant qu'on puisse l'envisager.\n\nWillie le rusé foutrement pervers\n\nDéfi : tuer des ours","Hallihallo Freund!\nWenn dir nicht jemand ins Hirn geschissen hat, weißt du wahrscheinlich schon, dass wir dich beobachtet haben. Jetzt da wir die nötigen Höflichkeiten ausgetauscht haben, komme ich gleich zum Punkt. Wir möchten, dass du den Willies beitrittst, aber zuerst musst du diese Prüfung bestehen, damit wir dich vielleicht aufnehmen.\n\nGlatter als ein Fischschwanz … Willie\n\nHerausforderung: Töte ein paar Bären",,"Qué hay, amigo/a:\nA menos que tengas un cerebro de mierda, probablemente sabes que te estamos siguiendo. Ya que terminamos con las cortesías, vayamos al grano. Queremos que te unas a los Willies, pero antes tienes que pasar un rito de iniciación para siquiera considerarte.\n\nWillie, escurridizo cual pinga de pececillo.\n\nDesafío: Mata a un par osos."
challenge_dontfeedthebears_subtitle,,Challenge Info,EnChanged KgNone,Kill Bears,Tuer des ours,Töte Bären,,Mata a osos.
challenge_buythefarm,,Challenge Info,KgNone,Buy the Farm,La ferme,Tierisch gut,,Compra la granja
challenge_buythefarm_offer,,Challenge Info,EnChanged KgNone,"Well Survivor,\nI guess you found the note we left you. Now that the cat's out of the bag let's get down to business. We've been watching you and think you might make a good recruit. But before we open our doors to a stranger let's see if you can do this simple job.\n\nI'm slicker than cat shit on linoleum... Willie\n\nChallenge: Kill some Animals","Alors la terreur,\nFaut croire que tu as trouvé le message qu'on t'a laissé. Ça, c'est fait, passons aux choses sérieuses. Après avoir vu ce dont tu es capable, on trouve que tu ferais une bonne recrue. Mais avant qu'on t'accepte, voyons si tu peux faire un truc aussi simple que cette tâche.\n\nWillie le plus rusé des merdeux\n\nDéfi : tuer des animaux","Also gut, Überlebender!\nDu hast wohl die Notiz gefunden, die wir für dich hinterlassen haben. Jetzt da die Katze aus dem Sack ist, können wir gleich zum Punkt kommen. Wir haben dich beobachtet und denken, dass du ein guter Rekrut wärst. Doch bevor wir einen Fremden aufnehmen, müssen wir erst sehen, ob du diese einfache Aufgabe erledigen kannst.\n\nIch bin glatter als Katzenscheiße auf Linoleum … Willie\n\nHerausforderung: Töte ein paar Tiere",,"Bueno, sobreviviente:\nCreo que has encontrado la nota que te dejé. Ahora que ya se descubrió el pastel, vamos a lo que nos va. Te hemos estado siguiendo y creemos que puedes ser un buen recluta. Pero antes de abrirle las puertas a un extraño, veamos si puedes hacer un trabajillo muy simple.\n\nWillie, más escurridizo que una mierda de gato en linóleo.\n\nDesafío: Mata a un par animales."
challenge_buythefarm_subtitle,,Challenge Info,EnChanged KgNone,Kill some Animals,Tuer des animaux,Töte ein paar Tiere,,Mata a un par animales.
treasure_taylor,,,KgNone,Taylor's Treasure Map,La carte au trésor de Taylor,Taylors Schatzkarte,,Mapa del tesoro de Taylor
treasure_taylor_offer,,Challenge Info,KgNone,"Dear Survivor,\nIf you're reading this note than the worst has probably happened and the odds are I'm dead. But rather than let all my stashes of supplies go to waste I'd like you to have one of them. I've marked the location on this map for you.\n\nGood Luck Taylor","Bonjour,\nSi tu lis ce message, c'est que le pire est arrivé et que je n'ai probablement pas survécu. Plutôt que de gaspiller toutes mes réserves, je voudrais que tu en utilises une. L'emplacement est indiqué sur cette carte.\n\nBonne chance, Taylor","Lieber Überlebender!\nWenn du diese Notiz liest, dann ist wohl das Schlimmste eingetreten und ich bin wahrscheinlich tot. Aber da ich nicht möchte, dass niemand etwas von meinen Vorräten hat, sollst du eines meiner Verstecke aufsuchen. Ich habe den Standort auf dieser Karte markiert.\n\nViel Glück! Taylor",,"Querido/a sobreviviente:\nSi estás leyendo esta nota, probablemente sucedió lo peor y la muerte me haya llevado. Pero en lugar de dejar que mi alijo se desperdicie, quiero que tú lo tengas. Marqué su ubicación en este mapa.\n\nBuena suerte, Taylor."
treasure_taylor_subtitle,,Challenge Info,KgNone,Taylor's Treasure Map,La carte au trésor de Taylor,Taylors Schatzkarte,,Mapa del tesoro de Taylor
treasure_nickole,,,KgNone,Nickole's Treasure Map,La carte au trésor de Nickole,Nickoles Schatzkarte,,Mapa del tesoro de Nickole
treasure_nickole_offer,,Challenge Info,KgNone,"To whom it may concern,\nIf you've come to possess this note than quite possibly I've been eaten by the dead. Follow this map to one of my many valuable treasure locations I buried to keep safe from Crazy Jake. If you find it may you make good use of it.\n\nBest Wishes Nickole","À qui lira ce message,\nSi tu as ces mots en ta possession, c'est que les morts ont fini par me dévorer. Suis cette carte pour trouver l'un des nombreux et précieux trésors que j'ai protégés de Jake le cinglé. Si tu le trouves, utilise-le à bon escient.\n\nAmicalement, Nickole","An alle, die es angeht!\nWenn du im Besitz dieser Notiz bist, dann ist es gut möglich, dass ich von den Toten aufgefressen wurde. Folge dieser Karte zu einem meiner Verstecke mit wertvollen Schätzen, die ich vergraben habe, damit Crazy Jake sie nicht findet. Wenn du es findest, mach das Beste daraus.\n\nLiebe Grüße Nickole",,"A quien corresponda:\nSi encontraste esta nota, probablemente fui cena de los muertos. Sigue este mapa para encontrar uno de mis muchos tesoros. Están enterrados bajo tierra para ocultarlos de Jake el Loco. Si lo encuentras, espero que te sea útil.\n\nBuena suerte, Nickole."
treasure_nickole_subtitle,,Challenge Info,KgNone,Nickole's' Treasure Map,La carte au trésor de Nickole,Nickoles Schatzkarte,,Mapa del tesoro de Nickole
treasure_stephan,,,KgNone,Stephan's Treasure Map,La carte au trésor de Stephan,Stephans Schatzkarte,,Mapa del tesoro de Stephan
treasure_stephan_offer,,Challenge Info,KgNone,"Dear Friend,\nIf you've got this note than I'm probably dead or even worse one of the monsters. I leave you this map to one of my many stockpiles of buried supplies. If you find it promise me you'll use it to make the world a better place again.\n\nYours Truly Stephan","Camarade,\nSi tu lis ce message, je suis certainement mort ou, pire, je suis devenu l'un des monstres. Je te laisse donc cette carte, qui te guidera vers l'un de mes nombreux stocks enterrés. Si tu le retrouves, promets-moi que tu t'en serviras pour rendre ce monde meilleur.\n\nTon serviteur, Stephan","Lieber Freund!\nWenn du diese Notiz hast, dann bin ich wahrscheinlich tot oder, noch schlimmer, eines von den Monstern. Ich hinterlasse dir diese Karte, die dich zu einem meiner zahlreichen Verstecke führt, wo ich Vorräte vergraben habe. Wenn du es findest, versprich mir, dass du diese Welt damit wieder zu einem besseren Ort machst.\n\nHochachtungsvoll Stephan",,"Querido/a amigo/a:\nSi tienes esta nota, probablemente esté muerto, o peor, puede que sea uno de esos monstruos. Te dejo este mapa. Te llevará a una de mis muchas reservas de suministros enterradas. Si la encuentras, promete que la usarás para hacer de este mundo un lugar mejor otra vez.\n\nCon amor, Stephan."
treasure_stephan_subtitle,,Challenge Info,KgNone,Stephan's Treasure Map,La carte au trésor de Stephan,Stephans Schatzkarte,,Mapa del tesoro de Stephan
treasure_jennifer,,,KgNone,Jennifer's Treasure Map,La carte au trésor de Jennifer,Jennifers Schatzkarte,,Mapa del tesoro de Jennifer
treasure_jennifer_offer,,Challenge Info,KgNone,"To whomever finds this note,\nFriend the end is near. The monsters are breaking down my door but in my final moments I can only think of how I want to be remembered. Not as a coward but as someone who thinks of others. I leave you this map to one of my many secret buried chests.\n\nGod Bless You Jennifer","À qui trouvera ce message,\nCamarade, la fin est proche. Les monstres s'apprêtent à enfoncer ma porte. Dans mes derniers instants, je pense à ce que je laisse derrière moi. J'aimerais que les gens pensent à mon altruisme plutôt qu'à ma lâcheté. Je te laisse cette carte qui te guidera vers l'un de mes nombreux coffres secrets enterrés.\n\nQue Dieu te bénisse, Jennifer","An denjenigen, der diese Notiz findet!\nFreund, das Ende ist nahe. Die Monster brechen meine Tür auf, aber in meinen letzten Momenten kann ich nur daran denken, wie ich in Erinnerung bleiben möchte. Nicht als Feigling, sondern als jemand, der an andere denkt. Ich hinterlasse dir diese Karte, die dich zu einer meiner vielen geheimen Truhen führt, die ich vergraben habe.\n\nGott segne dich! Jennifer",,"A quier corresponda:\nAmigo, el final está cerca. Los monstruos están derribando la puerta, pero en mis últimos momentos, solo puedo pensar en cómo quiero que me recuerden. No como una cobarde, sino como alguien que pensaba en los demás. Te dejo este mapa. Lleva hacia uno de mis muchos cofres secretos enterrados.\n\nDios te bendiga, Jennifer."
treasure_jennifer_subtitle,,Challenge Info,KgNone,Jennifer's Treasure Map,La carte au trésor de Jennifer,Jennifers Schatzkarte,,Mapa del tesoro de Jennifer
treasure_claude,,,KgNone,Claude's Treasure Map,La carte au trésor de Claude,Claudes Schatzkarte,,Mapa del tesoro de Claude
treasure_claude_offer,,Challenge Info,KgNone,"Hello Friend,\nI don't even know you but I have to share my thoughts in my darkest hour. I've been bitten by one of the monsters and I can feel myself turning. As I fight the urge to eat my own family I feel the need to do one last good deed. Follow this map to one of my many personal stashes. May it keep you alive.\n\nSincerely Claude","Salut camarade,\nJe ne te connais pas, mais je ressens le besoin de partager mes pensées en ces temps si sombres. La morsure de l'un de ces monstres me pousse à me transformer. Alors que je lutte contre l'envie de dévorer ma famille, j'ai besoin de faire une dernière bonne action. Suis cette carte, elle te guidera vers l'une de mes nombreuses réserves personnelles. J'espère qu'elle t'aidera à survivre.\n\nSincèrement, Claude","Hallo Freund!\nIch kenne dich gar nicht, aber ich muss meine Gedanken in meiner dunkelsten Stunde teilen. Ich wurde von einem dieser Monster gebissen und ich spüre, wie ich mich verwandle. Während ich gegen das Verlangen ankämpfe, meine ganze Familie aufzufressen, möchte ich eine letzte gute Tat vollbringen. Folge dieser Karte, um eines meiner vielen persönlichen Verstecke mit Vorräten zu finden. Hoffentlich hält es dich am Leben.\n\nMit besten Grüßen Claude",,"Hola, amigo/a:\nNi siquiera te conozco, pero tengo que compartir mis pensamientos en el peor de los momentos. Uno de esos monstruos me ha mordido. Puedo sentir cómo me estoy convirtiendo. Lucho contra las ganas de comerme a mi propia familia, pero siento la necesidad de hacer una última buena acción. Sigue este mapa, te llevará hacia una de mis muchas reservas personales. Espero que te mantenga con vida.\n\nSinceramente, Claude."
treasure_claude_subtitle,,Challenge Info,KgNone,Claude's Treasure Map,La carte au trésor de Claude,Claudes Schatzkarte,,Mapa del tesoro de Claude
treasure_sarah,,,KgNone,Sarah's Treasure Map,La carte au trésor de Sarah,Sarahs Schatzkarte,,Mapa del tesoro de Sarah
treasure_sarah_offer,,Challenge Info,KgNone,"If you found this note,\nThis may be your lucky day. I've been bitten by one of the creatures and the fever has taken hold. I don't have long but the least I could do before I turn is help someone, anyone as God would want me to. If there is still a God. So I leave you with this map to one of my many buried supply chests.\n\nTo a new life Sarah","Si tu as trouvé ce message,\nC'est ton jour de chance. J'ai été mordue par l'une des créatures et ma fièvre est de plus en plus forte. Il ne me reste pas longtemps à vivre, mais le moins que je puisse faire avant de me transformer est d'aider quelqu'un d'autre, n'importe qui, comme Dieu le voudrait. S'il existe encore. Je te laisse donc cette carte qui te guidera vers l'un de mes nombreux coffres de provisions enterrés.\n\nAdieu, Sarah","Wenn du diese Notiz gefunden hast,\ndann ist heute vielleicht dein Glückstag. Ich wurde von einer dieser Kreaturen gebissen und das Fieber hat schon eingesetzt. Mir bleibt nicht mehr viel Zeit, aber bevor ich mich verwandle, kann ich zumindest jemandem helfen, so wie es Gott gewollt hätte. Falls es noch einen Gott gibt. Darum hinterlasse ich dir diese Karte, die dich zu einer meiner vielen vergrabenen Vorratstruhen führt.\n\nAuf ein neues Leben! Sarah",,"Al que encuentre esta nota:\nPuede que sea tu día de suerte. Una de esas criaturas me mordió. Tengo mucha fiebre. No me queda mucho tiempo, pero por lo menos puedo ayudar a alguien antes de convertirme. A cualquiera, tal y como Dios querría. Si es que aún hay un Dios. Te dejo este mapa. Lleva hacia uno de mis muchos cofres de suministros enterrados.\n\nPor una vida nueva, Sarah."
treasure_sarah_subtitle,,Challenge Info,KgNone,Sarah's Treasure Map,La carte au trésor de Sarah,Sarahs Schatzkarte,,Mapa del tesoro de Sarah
treasure_raphael,,,KgNone,Raphael's Treasure Map,La carte au trésor de Raphael,Raphaels Schatzkarte,,Mapa del tesoro de Raphael
treasure_raphael_offer,,Challenge Info,KgNone,"Dear Stranger,\nI've got the cold sweats and it won't be long. All I can think of in my final hour is if my son Joey is still alive. I have no reason to trust you but I have no choice. Crazy Jake has kidnapped him. In your hand is a map to one of my many secret supply caches. Promise me if you find it you'll help my son.\n\nI'm counting on you Raphael","Bonjour,\nJ'ai des sueurs froides et il ne me reste pas longtemps à vivre. Dans ma dernière heure, une seule pensée m'obsède : et si mon fils Joey était toujours en vie ? Je n'ai aucune raison de te faire confiance, mais je n'ai pas d'autre choix. Jake le cinglé l'a enlevé. Tu as entre les mains la carte vers l'une de mes nombreuses cachettes secrètes de provisions. Promets-moi que si tu la trouves, tu iras aider mon fils.\n\nJe compte sur toi, Raphael.","Lieber Fremder!\nDer kalte Schweiß ist ausgebrochen, jetzt dauert es nicht mehr lange. In meinen letzten Momenten kann ich nur daran denken, ob mein Sohn Joey noch lebt. Ich habe keinen Grund, dir zu vertrauen, aber mir bleibt nichts anderes übrig. Crazy Jake hat ihn entführt. Du hältst eine Karte zu einem meiner vielen geheimen Vorratslager in Händen. Versprich mir, dass du meinem Sohn helfen wirst, wenn du es findest.\n\nIch zähle auf dich! Raphael",,"Querido/a extraño/a:\nTengo escalofríos y no duraré mucho más. Todo lo que puedo pensar en mis últimos momentos es si mi hijo Joey seguirá vivo. No tengo razones para confiar en ti, pero tampoco tengo alternativa. Jake el Loco lo secuestró. En las manos tienes un mapa que te llevará hacia uno de mis muchos escondites de suministros secretos. Prométeme que si lo encuentras, ayudarás a mi hijo.\n\nCuento contigo, Raphael."
treasure_raphael_subtitle,,Challenge Info,KgNone,Raphael's Treasure Map,La carte au trésor de Raphael,Raphaels Schatzkarte,,Mapa del tesoro de Raphael
challenge_Hen,,Challenge Info,,"Raising a Chicken",,
challenge_Hen_subtitle,,Challenge Info,,"Raising a Chicken",,
challenge_Hen_offer,,Challenge Info,,"Man cannot live on vegetables alone. To survive in this world you will need some protein. Build a chicken coop and raise an egg to a full grown hen. Once you have a Hen in the Coop you can harvest eggs and feathers from it and even eat the poor little thing.",,
challenge_Clean,,Challenge Info,,"Keeping Clean",,
challenge_Clean_subtitle,,Challenge Info,,"Keeping Clean",,
challenge_Clean_offer,,Challenge Info,,"Learning to stay clean can keep you alive. Once you’re dirty craft some soap on the campfire and use it in the water to take a bath. Regular bathing helps prevent your scratches from infection and keeps away body odor.",,
challenge_Vorpal,,Challenge Info,,"Kill the Infected animals",,
challenge_Vorpal_subtitle,,Challenge Info,,"Kill the Infected animals",,
challenge_Vorpal_offer,,Challenge Info,,"The dead aren’t the only thing you have to worry about anymore. Even the animals are starting to become infected. Search out these infected animals and kill them but be careful they bite.",,
challenge_AntiVenom,,Challenge Info,,"Using AntiVenom",,
challenge_AntiVenom_subtitle,,Challenge Info,,"Using AntiVenom",,
challenge_AntiVenom_offer,,Challenge Info,,"Not everything that can kill you is infected. These giant hornets can attack in swarms and have deadly venom in their sting. Kill one and harvest its venom sack. Use it to craft and use anti-venom.",,
challenge_Plants,,Challenge Info,,"Learn to farm",,
challenge_Plants_subtitle,,Challenge Info,,"Learn to farm",,
challenge_Plants_offer,,Challenge Info,,"Staying alive can be as simple as staying feed. Learn to be more self-sustaining by planting your own crops.",,
challenge_KillemAll,,Challenge Info,,"Killem All"
challenge_KillemAll_subtitle,,Challenge Info,,"Killem All"
challenge_KillemAll_offer,,Challenge Info,,"Zombies that look the same can act very different. Get to know your enemy better by tracking down and killing all these types of zombies",,
challenge_Killer,,Challenge Info,,"Become a Killer",,
challenge_Killer_subtitle,,Challenge Info,,"Become a Killer",,
challenge_Killer_offer,,Challenge Info,,"Push back against the army of the dead and prove that you will not be breakfast.",,
challenge_Slayer,,Challenge Info,,"Become a Slayer",,
challenge_Slayer_subtitle,,Challenge Info,,"Become a Slayer",,
challenge_Slayer_offer,,Challenge Info,,"Lay waste to the hordes and prove that you will not go quietly into that dark night.",,
challenge_King,,Challenge Info,,"Become King of the Wastelands"
challenge_King_subtitle,,Challenge Info,,"Become King of the Wastelands"
challenge_King_offer,,Challenge Info,,"You have become death destroyer of worlds. Lay waste to all before you, let fall away the ways of the old world and impose your will upon all you see. It is good to be King",,
